CUSTOMER,container_id,days
NISSAN MOTOR MANUFACTURING UK,GLDU9990918,1
NISSAN MOTOR MANUFACTURING UK,GLDU9989481,1
NISSAN MOTOR MANUFACTURING UK,GLDU9406310,1
NISSAN MOTOR MANUFACTURING UK,FFAU1424768,1
NISSAN MOTOR MANUFACTURING UK,FFAU1421373,1
NISSAN MOTOR MANUFACTURING UK,FFAU1411821,1
NISSAN MOTOR MANUFACTURING UK,FDCU0628698,1
NISSAN MOTOR MANUFACTURING UK,CAIU8920650,1
NISSAN MOTOR MANUFACTURING UK,CAIU8103440,1
NISSAN MOTOR MANUFACTURING UK,CAIU8048996,1
NISSAN MOTOR MANUFACTURING UK,CAIU4627916,1
NISSAN MOTOR MANUFACTURING UK,CAIU4298446,1
NISSAN MOTOR MANUFACTURING UK,CAIU3467916,1
NISSAN MOTOR MANUFACTURING UK,CAIU2663909,1
NISSAN MOTOR MANUFACTURING UK,CAIU2573019,1
NISSAN MOTOR MANUFACTURING UK,CAAU6675870,1
NISSAN MOTOR MANUFACTURING UK,CAAU6523245,1
NISSAN MOTOR MANUFACTURING UK,CAAU6420036,1
NISSAN MOTOR MANUFACTURING UK,CAAU6418471,1
NISSAN MOTOR MANUFACTURING UK,CAAU6418213,1
NISSAN MOTOR MANUFACTURING UK,CAAU6416885,1
NISSAN MOTOR MANUFACTURING UK,CAAU6104887,1
NISSAN MOTOR MANUFACTURING UK,CAAU6099142,1
NISSAN MOTOR MANUFACTURING UK,CAAU5449354,1
