,J TYPE,DEL TIME,HAZ,DRIVING_TIME,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,co2 LBS
326,MT,10:00,-1,719,OLDBURY,CENTRAL CONTAINER SERVICES LTD,SOUTH SHIELDS,1232.2716
327,MT,10:30,-1,719,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,1232.2716
328,MT,10:30,-1,719,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,1232.2716
329,MT,12:00,-1,719,TEESPORT,TEESPORT,SOUTH SHIELDS,1232.2716
330,PTP,10:00,-1,741,WORKSOP,WILKINSON,SOUTH SHIELDS,1311.1581600000002
331,EXP,13:00,-1,600,DARLINGTON,ALDI DARLINGTON,Leeds,996.14136
332,MT,16:00,-1,600,LEEDS,NORCON,SOUTH SHIELDS,996.14136
333,MT,16:59,-1,600,BATHGATE,CONTAINER WORLD,BATHGATE,996.14136
334,MT,16:59,-1,600,BATHGATE,CONTAINER WORLD,BATHGATE,996.14136
335,IMP,14:00,-1,957,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1684.4133600000002
336,MT,16:59,-1,957,BATHGATE,CONTAINER WORLD,BATHGATE,1684.4133600000002
337,MT,16:59,-1,957,BATHGATE,CONTAINER WORLD,BATHGATE,1684.4133600000002
338,MT,15:00,-1,875,OLDBURY,CENTRAL CONTAINER SERVICES LTD,SOUTH SHIELDS,1551.78864
339,MT,16:59,-1,685,BATHGATE,CONTAINER WORLD,BATHGATE,1131.4132800000002
340,MT,16:59,-1,685,BATHGATE,CONTAINER WORLD,BATHGATE,1131.4132800000002
341,MT,16:59,-1,807,BATHGATE,CONTAINER WORLD,BATHGATE,1431.60576
342,MT,16:59,-1,807,BATHGATE,CONTAINER WORLD,BATHGATE,1431.60576
343,MT,16:59,-1,524,BATHGATE,CONTAINER WORLD,BATHGATE,841.01544
344,MT,16:59,-1,524,BATHGATE,CONTAINER WORLD,BATHGATE,841.01544
345,EXP,17:00,-1,524,HARTLEPOOL,J&B RECYCLING,SOUTH SHIELDS,841.01544
346,IMP,18:20,-1,524,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,841.01544
347,IMP,19:35,-1,524,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,841.01544
348,CUR,19:00,-1,568,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,949.55064
349,CUR,22:00,-1,568,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,949.55064
350,CUR,22:01,-1,568,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,949.55064
351,CUR,23:59,-1,568,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,949.55064
352,EXP,7:00,-1,712,DARLINGTON,ALDI DARLINGTON,Leeds,1575.34872
353,CUR,10:30,-1,712,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,1575.34872
354,EXP,13:00,-1,712,DARLINGTON,ALDI DARLINGTON,Leeds,1575.34872
355,EXP,7:00,-1,399,DARLINGTON,ALDI DARLINGTON,Leeds,833.868
356,CUR,10:30,-1,399,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,833.868
357,EXP,13:00,-1,399,DARLINGTON,ALDI DARLINGTON,Leeds,833.868
